name,brand,category,barcode,vegNonVeg,available_quantities,ingredients,allergens,side_effects,harm_level,image_url
Verka Gold,verka,dairies,8901826601100,,"[""500ml""]","[""MILK SOLIDS""]","[""milk""]",[],,
Whey,gold-standard,dairies,0748927066692,,"[""2.5kg""]","[""Protein Blend (93%) (Whey Protein Isolate"", ""Whey Protein Concentrate"", ""Hydrolysed Whey Protein) (Emulsifier: INS 3221)"", ""Cocoa Powder (Processed With Alkali)"", ""Artificial Flavours (Chocolate"", ""Vanilla)"", ""Sweetener (INS 950).""]","[""milk""]",[],,
chocochips,nic,desserts,8906082372566,,"[""750ml""]","[""Milk"", ""Chocolate"", ""Sugar and Chocolate Crush.""]","[""milk""]",[],,https://images.openfoodfacts.org/images/products/890/608/237/2566/front_en.3.400.jpg
PARLE MONACO,parle,snacks,8901719135156,,"[""185.6""]","[""Refined wheat flour (maida)"", ""refined oils(pamolein and palm)"", ""sugar"", ""raisins agents[503(ii)"", ""341(i)]"", ""iodised salt(2.25%)"", ""invert sugar syrup"", ""yeast"", ""acidity regulators [270"", ""296]"", ""flour treatment agents[223"", ""1101(ii)"", ""1100(i)]"", ""emulsifier of vegetable origin [472e]\nContains added flavours(artificial flavouring substance - butter)\nContains: wheat"", ""sulphite""]","[""gluten"", ""milk"", ""sulphur dioxide and sulphites""]",[],,
Mountain Dew,mewati-🔔,beverages,8902080364565,,"[""1.25 l""]","[""CARBONATED WATER"", ""SUGAR"", ""ACIDITY REGULATORS (330"", ""331)"", ""FLAVOUR (NATURAL FLAVOURING SUBSTANCES)"", ""PRESERVATIVE (211)"", ""CAFFEINE (1"", ""3 mg/100 g)"", ""STABILIZERS (445)"", ""COULOUR (102)""]","[""-""]",[],,
Protein Lassi - Mango flavour,amul,beverages,8901262152945,,"[""250 ml""]","[""Milk solids"", ""water"", ""sweeteners (965"", ""960)"", ""mango fruit compound (2.3%)"", ""stabilizers (440"", ""418)"", ""acidity regulator (330)"", ""nature identical and artificial flavouring substances (mango)"", ""active culture"", ""colours (160(b)"", ""102"", ""110]. Allergen Information: Contains milk.""]","[""milk""]",[],,https://images.openfoodfacts.org/images/products/890/126/215/2945/front_en.3.400.jpg
Nutri Choice Digestive,britannia,snacks,8901063142466,,"[""50 g""]","[""Refined wheat flour (maida)"", ""wheat flour(atta) (20%)"", ""refined palm oil"", ""sugar"", ""wheat bran(4.7%)"", ""Liquid glucose"", ""milk solids"", ""maltodextrin"", ""raising agents[503(ii)&500(ii)]"", ""IODISED salt"", ""emulsifiers[32(i)"", ""471&472e]"", ""malt extract and dough conditioner(233).contains added flavours [nature identical & artificial (vanillin) flavouring substances]""]","[""gluten"", ""milk"", ""soybeans"", ""sulphur dioxide and sulphites""]",[],,
Max protein (7 grain protein snack),ritebite,snacks,8906009532837,,"[""60g""]","[""Millets & Pulses Blend Flour (55%)"", ""(Jowar/Sorghum"", ""Chickpeas"", ""Quinoa"", ""Oats"", ""Ragi"", ""Soy"", ""Urad)"", ""Rice Bran Oil"", ""Soy Protein Isolate"", ""Dietary Fiber"", ""Chinese Manchurian Seasoning [Sugar"", ""lodized Salt"", ""Garlic Powder"", ""Mixed Spices (Chilli"", ""Ginger"", ""Bell Pepper"", ""Black Pepper"", ""Celery)"", ""Onion powder"", ""Soy Sauce Powder"", ""Hydrolyzed Vegetable Protein (Soy)"", ""Anticaking Agent (E551)"", ""Yeast extract powder"", ""Flavour Enhancer (E627"", ""631). Permitted Nature And Natural Identical Flavouring Substances] Black Pepper"", ""Salt. Allergen Declaration: Contains Soy & Cereals""]","[""celery"", ""gluten"", ""soybeans""]",[],,
DMart Healthy Choice Chia Seeds,dmart,plant-based-foods-and-beverages,8903363014351,,"[""200g""]","[""CHIA SEEDS""]","[""-""]",[],,https://images.openfoodfacts.org/images/products/890/336/301/4351/front_en.4.400.jpg
Buldak 2x spicy chicken noodles,samyang,plant-based-foods-and-beverages,8801073142428,,"[""5 x 140g""]","[""NOODLE(76.7%): REFINED WHEAT FLOUR"", ""MODIFIED STARCH (INS 1420)"", ""REFINED PALM OIL"", ""WHEAT GLUTEN"", ""SALT"", ""EMULSIFIER (SOY LECITHIN-INS 322)"", ""ACIDITY REGULATOR [POTASSIUM CARBONATE (INS 5011)"", ""SODIUM CARBONATE (INS 500i)"", ""DISODIUM ORTHOPHOSPHATE (INS 339ii)]"", ""GUAR GUM (INS 412)"", ""RIBOFLAVIN (INS 101)"", ""CITRIC ACID (INS 330)"", ""GREEN TEA FLAVOUR (NATURE-IDENTICAL) SOUP(22.7%): WATER"", ""SOY SAUCE (SOYABEAN"", ""WATER"", ""SALT"", ""GARLIC"", ""FLAVOUR ENHANCER-DISODIUM 5'-RIBONUCLEOTIDE)"", ""WHITE SUGAR"", ""ARTIFICIAL CHICKEN FLAVOUR"", ""CHILLI PEPPER POWDER"", ""RED PEPPER POWDER"", ""CURRY POWDER [CUMIN POWDER"", ""SALT"", ""DEXTROSE"", ""RED PEPPER POWDER"", ""CLOVE POWDER"", ""NUTMEG POWDER"", ""ROSEMARY POWDER"", ""GARLIC POWDER"", ""ONION POWDER"", ""GINGER POWDER"", ""PAPRIKA OLEORESIN (INS 160ci)]"", ""ONION"", ""GARLIC"", ""MODIFIED STARCH (INS 1420)"", ""CHILLI EXTRACT"", ""BLACK PEPPER POWDER"", ""LACTOBACILLUS FERMENTED POWDER"", ""MONOSODIUM L-GLUTAMATE (INS 621)"", ""PAPRIKA POWDER FLAKE(0.6%): ROASTED SESAME"", ""ROASTED SEAWEED CONTAINS ADDED MONOSODIUM L-GLUTAMATE.""]","[""gluten"", ""sesame seeds"", ""soybeans""]",[],,
slice,pepsico-india-holdings-pvt-ltd,cold-drinks,8902080404117,,"[""1.2kg""]","[""WATER"", ""SUGAR"", ""*CONCENTRATED MANGO PULP (5.1%)"", ""Acidity Regulator (330)"", ""Favour (Natural and nature identical falvouring substances )"", ""Stabilizers (466"", ""440)"", ""sweetener (960a)"", ""preservative (202)"", ""colour (110)\r\n\r\n*Equivalent to 10.2% mango pulp IN\r\n\r\nReconstituted Beverage""]","[""steviol-glycoside""]",[],,
Acai vibe,rio,beverages-and-beverages-preparations,8906026600465,,"[""200ml""]","[""PURIFIED WATER"", ""SUGAR"", ""APPLE JUICE (7%)"", ""MIX BERRY JUICE (5%)"", ""CARBON DIOXIDE (INS290)"", ""ACIDITY REGULATORS (INS296"", ""INS330 & INS331)"", ""VITAMINS"", ""PERMITTED CLASS II PRESERVATIVE (INS211) CONTAINS PERMITTED SYNTHETIC COLOURS (INS133 & INS122). CONTAINS PERMITTED NATURE IDENTICAL FLAVOUR (ACAI BERRY)""]","[""-""]",[],,https://images.openfoodfacts.org/images/products/890/602/660/0465/front_en.3.400.jpg
